Продукт,Вес (г),Белки,Жиры,Углеводы,Калории,Категория
равиоли мясные,100,12.00,20.90,14.50,291.00
ризотто маре (с морепродуктами),100,5.10,3.80,12.10,104.00
ричиоли с рикоттой,100,6.70,14.80,7.80,209.00
спагетти барилла италия (сухие),100,12.00,1.50,72.20,350.00
спагетти болоньезе,100,7.30,7.00,21.30,175.00
спагетти карбонара,100,11.60,20.00,22.00,311.00
строзапретти с креветками,100,7.10,8.70,15.00,169.00
тальятелле кватро формаджи («четыре сыра»),100,11.90,18.60,24.80,312.00
тальятелле сальмоне (с лососем),100,9.00,14.70,9.80,221.00
тортелли с мраморной говядиной,100,8.90,16.60,15.90,252.00
тортеллини с сыром барилла италия (сухие),100,15.00,13.00,54.60,395.00
феттучине по-сицилийски,100,7.70,1.00,16.80,112.00
воздушная кукуруза,100,13.00,4.00,72.00,382.00
горох сушеный,100,20.50,2.00,48.60,298.00
гречневая продел,100,9.50,2.30,65.90,329.00
гречневая ядрица,100,12.60,3.30,62.10,335.00
каша геркулесовая молочная,100,3.20,4.30,14.20,105.00
каша геркулесовая на воде,100,2.90,1.40,14.80,84.00
каша гречневая вязкая на воде,100,3.20,0.80,17.10,90.00
каша гречневая рассыпчатая,100,5.90,1.60,30.60,163.00
каша гречневая с грибами,100,4.30,5.60,13.70,123.90
каша манная молочная,100,3.00,3.20,15.30,98.00
каша манная на воде,100,2.50,0.20,16.80,80.00
каша овсяная молочная,100,3.20,4.10,14.20,102.00
каша овсяная на воде,100,3.00,1.70,15.00,88.00
каша перловая рассыпчатая,100,3.10,0.40,23.00,106.00
каша пшеничная вязкая на воде,100,3.20,0.30,18.70,92.00
каша пшеничная рассыпчатая,100,5.00,0.40,27.70,137.00
каша пшенная вязкая на воде,100,3.00,0.70,17.00,90.00
каша пшенная рассыпчатая,100,4.70,1.10,26.10,135.00
каша рисовая молочная,100,2.50,3.10,16.00,97.00
каша рисовая на воде,100,1.50,0.10,17.40,78.00
каша ячневая вязкая на воде,100,2.30,0.30,15.70,76.00
каша ячневая рассыпчатая,100,3.40,0.40,22.10,108.00
коричневый рис,100,6.30,4.40,65.10,331.00
крупа кукурузная,100,8.30,1.20,71.60,337.00
